CONCURSO,DIA,MES,ANO,DEZ1,DEZ2,DEZ3,DEZ4,DEZ5,DEZ6,DEZ7,DEZ8,DEZ9,DEZ10,DEZ11,DEZ12,DEZ13,DEZ14,DEZ15,DEZ16,DEZ17,DEZ18,DEZ19,DEZ20,DIA_DA_SEMANA,GANHADOR
2184,4,6,2021,14,58,30,32,48,97,17,87,92,55,7,99,3,83,24,94,45,10,62,60,SEX,0
2183,1,6,2021,13,8,80,18,29,3,5,65,89,98,40,15,81,52,77,86,68,56,78,2,TER,0
2182,28,5,2021,36,15,92,75,56,66,76,17,0,45,18,60,38,67,52,85,89,71,42,48,SEX,1
2181,25,5,2021,2,57,21,19,81,20,73,49,67,47,37,88,15,39,46,30,84,7,1,60,TER,0
2180,21,5,2021,89,56,74,53,87,76,34,54,46,39,85,15,30,8,91,95,63,13,7,44,SEX,0
2179,18,5,2021,85,18,45,22,3,29,40,95,23,82,39,35,6,59,65,80,13,1,98,20,TER,0
2178,14,5,2021,2,20,90,15,91,56,54,87,95,62,81,40,34,75,83,23,89,39,86,30,SEX,0
2177,11,5,2021,36,51,43,31,34,50,65,87,97,29,52,91,88,24,96,68,8,57,7,6,TER,0
2176,7,5,2021,20,75,93,38,57,29,68,65,43,63,40,96,10,66,60,14,23,42,25,89,SEX,1
2175,4,5,2021,19,37,54,46,1,57,66,5,40,92,22,87,28,31,55,20,6,59,75,26,TER,0
2174,30,4,2021,74,95,59,86,43,45,64,94,54,66,32,10,46,28,36,73,80,71,44,82,SEX,0
2173,27,4,2021,4,45,82,80,23,44,36,66,64,97,27,77,98,0,67,49,24,65,17,53,TER,0
2172,23,4,2021,29,30,9,54,25,69,55,4,49,82,38,53,16,3,32,51,8,13,2,20,SEX,0
2171,20,4,2021,99,37,76,20,72,81,23,51,94,17,3,27,64,35,14,67,19,47,12,83,TER,0
2170,16,4,2021,74,79,63,91,13,85,83,93,76,48,50,57,60,31,8,97,51,92,11,38,SEX,0
2169,13,4,2021,28,7,53,68,5,61,81,70,45,66,87,58,80,98,75,35,99,51,8,22,TER,0
2168,9,4,2021,49,88,76,9,32,37,83,92,59,26,68,7,11,4,66,73,34,99,79,96,SEX,0
2167,6,4,2021,57,38,82,88,67,43,37,18,71,26,27,54,61,51,47,77,7,39,2,99,TER,1
2166,3,4,2021,56,6,89,19,29,94,0,76,69,40,28,75,21,90,45,54,14,13,3,9,SAB,0
2165,30,3,2021,77,54,55,92,91,19,21,2,11,74,82,71,37,42,10,35,34,48,58,79,TER,0
2164,26,3,2021,21,24,89,71,28,91,19,12,86,15,48,47,84,55,2,6,78,93,7,60,SEX,0
